Roof_Area_m2,Rainfall_mm,Runoff_Coefficient,Tank_Size_Liters,Liters_Captured
124.87,155.72,0.86,15000,16638.12
286.2,139.84,0.66,5000,26579.58
224.96,78.7,0.72,1000,12791.29
187.62,246.83,0.83,15000,38519.07
63.69,195.88,0.77,15000,9585.88
63.68,347.62,0.86,15000,18945.32
36.26,22.52,0.94,10000,777.94
262.53,261.11,0.64,10000,44012.94
188.31,307.55,0.85,15000,49149.85
218.26,306.2,0.68,15000,45538.84
25.76,355.57,0.75,1000,6863.55
291.57,294.32,0.61,1000,52471.28
253.08,371.85,0.65,5000,60940.75
79.45,139.74,0.71,5000,7876.89
70.91,206.25,0.72,10000,10574.84
71.35,15.49,0.91,2000,1034.64
105.19,12.71,0.86,1000,1199.74
166.93,103.65,0.94,5000,16274.16
140.94,49.31,0.81,1000,5538.31
101.54,111.48,0.68,1000,7713.87
191.32,79.05,0.71,2000,10858.27
59.06,21.12,0.71,1000,878.31
101.8,364.63,0.71,2000,26566.51
122.58,13.21,0.84,2000,1423.21
147.7,297.07,0.79,1000,34524.61
239.85,69.34,0.73,1000,12266.39
75.91,365.77,0.65,5000,17973.46
163.99,358.19,0.61,1000,35686.31
185.88,265.02,0.68,1000,33329.4
33.01,272.17,0.64,1000,5772.64
190.11,12.08,0.87,5000,2015.33
67.75,394.1,0.64,2000,16995.89
38.21,352.35,0.85,5000,11418.52
285.69,359.09,0.73,1000,75376.01
290.38,267.11,0.63,15000,48663.12
246.35,144.47,0.88,1000,31491.44
105.29,358.52,0.8,5000,30333.61
47.35,123.69,0.68,5000,3923.5
211.59,229.46,0.91,10000,44387.88
143.24,48.9,0.62,15000,4297.39
54.17,369.56,0.67,5000,13501.03
158.65,64.9,0.86,2000,8825.91
29.63,97.71,0.85,1000,2451.1
274.61,227.67,0.7,2000,43816.99
92.46,308.0,0.62,5000,17736.05
205.51,251.55,0.9,5000,46590.95
107.28,100.53,0.71,2000,7623.65
165.62,10.37,0.67,2000,1188.13
173.08,305.29,0.78,10000,41318.23
71.76,394.23,0.92,1000,26035.4
291.48,325.87,0.62,2000,58409.8
237.04,189.48,0.87,1000,38965.52
283.06,362.47,0.8,15000,82107.23
270.55,169.84,0.75,5000,34460.12
187.41,214.72,0.86,2000,34646.72
278.12,196.08,0.94,15000,51092.92
44.78,184.57,0.68,5000,5621.11
74.88,312.32,0.65,10000,15288.73
32.66,215.44,0.92,5000,6519.92
111.09,133.52,0.83,2000,12342.69
128.83,110.68,0.75,15000,10664.5
95.98,24.72,0.8,15000,1874.74
252.05,237.45,0.86,15000,51526.39
119.89,99.68,0.87,5000,10383.79
98.66,67.77,0.92,1000,6115.64
171.95,264.99,0.75,1000,34176.95
59.46,275.67,0.7,5000,11398.42
244.62,303.34,0.82,2000,61189.52
40.87,206.39,0.75,5000,6326.99
296.33,358.68,0.81,1000,85913.23
236.23,375.17,0.75,5000,66233.51
75.64,324.87,0.65,15000,16045.87
21.55,257.88,0.76,2000,4245.37
248.33,128.45,0.84,2000,26926.05
217.92,393.35,0.88,10000,75403.22
224.12,116.91,0.77,5000,20265.18
235.96,89.04,0.66,15000,13846.5
40.73,182.44,0.75,5000,5542.59
120.37,32.17,0.88,10000,3378.13
52.44,391.61,0.74,10000,15202.84
261.67,239.49,0.84,5000,52918.19
194.52,227.21,0.78,5000,34418.88
112.65,265.76,0.68,5000,20494.25
37.8,203.84,0.88,1000,6831.64
107.08,22.5,0.63,10000,1535.84
111.05,248.8,0.78,2000,21555.7
224.29,289.31,0.67,1000,43624.67
198.52,172.53,0.62,15000,21329.75
268.42,305.35,0.78,2000,63573.16
152.22,98.53,0.77,2000,11625.12
53.49,96.3,0.85,2000,4318.82
219.71,72.95,0.86,10000,13880.15
233.02,155.08,0.85,15000,30778.98
177.16,340.33,0.74,1000,44814.4
235.87,332.89,0.82,15000,64433.0
158.26,159.3,0.8,1000,20152.72
166.37,239.76,0.75,10000,29846.95
139.71,291.12,0.81,15000,32854.54
27.12,104.07,0.93,2000,2630.93
